Room,Size
ACC 306B,16
ACC201,48
ACC205,36
ACC236,39
ACC303,46
ACC306B,16
ACC310,54
ACC312,20
BRI202,42
BRI202A,34
BRI203,20
BRI5,42
BRI8,36
HOH EDI,269
HOH1,73
HOH2,73
HOH506,16
HOH706,16
JFF LL101,48
JFF LL102,48
JFF LL103,48
JFF LL105,149
JFF LL125,101
JFF233,60
JFF236,60
JFF239,48
JFF240,48
JFF241,48
JFF312,20
JFF313,20
JFF316,48
JFF322,48
JFF327,36
JFF328,36
JFF331,36
JFF414,60
JFF416,48
JFF417,36
JKP102,52
JKP104,56
JKP110,77
JKP112,77
JKP202,54
JKP204,54
JKP210,78
JKP212,78
GFS229,30
SAL101,244
SLH200,186
THH208,78
THH212,78
VPD105,68
